	NMI_0	NMI_0.25	NMI_0.5	NMI_0.75	NMI_1
affinity_propagation	1.0000000000000002	0.7129503783844047	0.5639716356642248	0.4695535567554574	0.4034056150836117
ward_hierarchical	1.0000000000000007	0.5229959728291848	0.3558577969279778	0.26994403632435027	0.21751784772272495
cosine_single_linkage_hierarchical	1.0000000000000036	0.17962629003907502	0.10061880404770245	0.0699337398896763	0.05359915627147529
euclidean_single_linkage_hierarchical	1.0000000000000036	0.17962629003907502	0.10061880404770245	0.0699337398896763	0.05359915627147529
dbscan_.5	inf	0.18585713445784688	0.11414282573985401	0.08236261850056109	0.06442507271851372
dbscan_1		3.4635242528212797e-16	1.7317621264106399e-16	1.1545080842737597e-16	8.658810632053199e-17
birch_mimic_.5	1.0000000000000007	0.33725865047882053	0.2063840617216042	0.1489336989497268	0.1165527979442339
birch_mimic_.75	1.0000000000000007	0.33725865047882053	0.2063840617216042	0.1489336989497268	0.1165527979442339
birch_pubmed_.5	1.0000000000000002	0.6542436016162914	0.48615347797710406	0.38678078640756425	0.32113824146822395
birch_pubmed_.75	1.0000000000000002	0.6542436016162914	0.48615347797710406	0.38678078640756425	0.32113824146822395
fast_pairwise_matching_at_0.50	1.0	0.9827876843336413	0.9661578700901137	0.9500814796602933	0.9345313391071882
pairwise_matching_at_0.40	1.0	0.9815152860119365	0.9637046035780095	0.9465315883796223	0.9299624562578546
pairwise_matching_at_0.50	1.0	0.9913938421668207	0.9830789350450568	0.9750407398301466	0.9672656695535939
pairwise_matching_at_0.60	1.0	0.9956135400603597	0.9913033749158033	0.9870675312062176	0.9829041030442117
pairwise_matching_at_0.70	1.0	0.9956135400603597	0.9913033749158033	0.9870675312062176	0.9829041030442117
pairwise_matching_at_0.75	0.9999999999999998	0.9990290245710458	0.9980618130059877	0.9970983434619448	0.9961385942647252
pairwise_matching_at_0.80	0.9946965898526159	0.9950563045491012	0.9954165427536206	0.9957773056098316	0.9961385942647252
pairwise_matching_at_0.85	0.9947371159829621	0.9960424228524635	0.9973546357462306	0.9986738096164809	0.9999999999999998
pairwise_matching_at_0.90	0.9947371159829621	0.9960424228524635	0.9973546357462306	0.9986738096164809	0.9999999999999998
pairwise_matching_at_0.95	0.9947371159829621	0.9960424228524635	0.9973546357462306	0.9986738096164809	0.9999999999999998
