	NMI_0	NMI_0.25	NMI_0.5	NMI_0.75	NMI_1
affinity_propagation	0.7182952467508334	0.7261268283488774	0.7377731613515641	0.754367655103291	0.7777394828736967
ward_hierarchical	0.9754101375067936	0.4506168047362252	0.3015299132083593	0.22760026127694427	0.18305464555487777
cosine_single_linkage_hierarchical	0.914083724498384	0.04412987539394222	0.022616131279397676	0.015204063595904139	0.011451145680754907
euclidean_single_linkage_hierarchical	0.7779342324458935	0.03262991224946741	0.01667379382010875	0.011198013976942768	0.00842966792089184
dbscan_.5	-inf	0.050236268308487056	0.026611398728331487	0.018108507238459515	0.013724933326764452
dbscan_1		-1.0691747799122116e-18	-5.345873899561058e-19	-3.5639159330406926e-19	-2.672936949780529e-19
birch_mimic_.5	0.9749728312246267	0.542844469868036	0.3789335448054775	0.29159233180841715	0.2371347111691806
birch_mimic_.75	0.9971319137066523	0.5405340875728858	0.37210185631294357	0.2839432959089193	0.22962711053621981
birch_pubmed_.5	0.9044461281468321	0.5838757843404782	0.4352868468912517	0.3483429040917582	0.2908936369040207
birch_pubmed_.75	0.8937894816912595	0.5735556770611477	0.4232386869880543	0.33558948709336206	0.2780959138355597
pairwise_matching_at_0.40	0.9647163866555104	0.9103513229990796	0.8631343702169003	0.821634971666176	0.7847917391576568
pairwise_matching_at_0.50	0.9563164442923597	0.9426434373945771	0.9297007099470109	0.9174314100241944	0.9057848085747839
pairwise_matching_at_0.60	0.9552438423142708	0.949746054393381	0.9445508742020232	0.9396437599709234	0.93501144716643
pairwise_matching_at_0.70	0.9485962786182396	0.9565085790104071	0.9647852415231911	0.9734497343173327	0.9825279155142093
pairwise_matching_at_0.75	0.9382116061894772	0.9507982118864063	0.9638192121768008	0.977302033161816	0.9912767358547793
pairwise_matching_at_0.80	0.9313220308029863	0.9466831350603055	0.9626886350441776	0.979388303133784	0.9968378974149263
pairwise_matching_at_0.85	0.9235298775825969	0.9413133508999689	0.9599379618260591	0.9794738608468473	1.0
pairwise_matching_at_0.90	0.9164175033478534	0.9357021160020521	0.9559957857642113	0.9773925956526573	1.0
pairwise_matching_at_0.95	0.9164175033478534	0.9357021160020521	0.9559957857642113	0.9773925956526573	1.0
