Tick-borne viral meningoencephalitis
	Tick-borne viral meningoencephalitis
Sepsis
	Sepsis
Myositis
	Myositis
Lyme disease
	Lyme disease
Pneumonia
	Pneumonia
Tick typhus due to Rickettsia conorii
	Tick typhus due to Rickettsia conorii
Influenza
	Influenza
Cytomegaloviral (CMV) pneumonia
	Cytomegaloviral (CMV) pneumonia
Leukemia
	Leukemia
Rhabdomyolysis
	Rhabdomyolysis
Community acquired pneumonia
	Community-acquired pneumonia
Colorado tick fever
	Colorado tick fever
Pyelonephritis
	Pyelonephritis
Rocky Mountain spotted fever
	Rocky mountain spotted fever
Anaplasmosis
	Anaplasmosis
